Train_ID,Train_Type,Current_Position,Delay_Min,Buffer_Min,Track_Availability,Stopping_Pattern,Section_Type,Speed_Limit,Decision,Hold_Station,Hold_Time,Reroute_Path,Additional_Time,Reason
T1071,Express,Station_46,81,12,Free,All Stops,Double-line,90,Reroute Train T1071,,,Section_41 → Station_43 → Section_27,15.0,Weather
T1072,Passenger,Section_19,90,29,Occupied,Skip,Single-line,120,Reroute Train T1072,,,Station_38 → Section_18 → Station_50,15.0,Weather
T1073,Passenger,Station_42,97,7,Free,All Stops,Double-line,90,Hold Train T1073,Station_15,13.0,,,
T1074,Freight,Section_3,45,50,Occupied,Skip,Double-line,120,Hold Train T1074,Station_20,8.0,,,
T1075,Freight,Section_2,56,33,Occupied,Skip,Single-line,60,Reroute Train T1075,,,Station_27 → Station_45 → Section_45,37.0,Congestion
T1076,Express,Station_15,50,50,Free,Skip,Single-line,120,Hold Train T1076,Station_37,20.0,,,
T1077,Freight,Section_32,19,11,Occupied,Skip,Single-line,110,Hold Train T1077,Station_49,22.0,,,
T1078,Freight,Station_28,39,49,Free,All Stops,Double-line,100,Reroute Train T1078,,,Station_7 → Section_23 → Section_31,38.0,Accident
T1079,Passenger,Section_34,88,3,Free,Skip,Double-line,60,Allow Train T1079 to go first,,,,,
T1080,Express,Station_39,70,0,Free,All Stops,Single-line,100,Reroute Train T1080,,,Station_31 → Station_48 → Section_18,30.0,Weather
T1081,Freight,Section_13,13,59,Occupied,All Stops,Double-line,90,Hold Train T1081,Station_2,16.0,,,
T1082,Express,Section_25,19,57,Occupied,Skip,Double-line,100,Hold Train T1082,Station_48,17.0,,,
T1083,Freight,Section_40,17,31,Free,Skip,Double-line,120,Allow Train T1083 to go first,,,,,
T1084,Passenger,Section_40,109,50,Occupied,Skip,Single-line,110,Reroute Train T1084,,,Station_20 → Section_41 → Section_18,27.0,Weather
T1085,Passenger,Section_45,80,59,Free,All Stops,Single-line,80,Allow Train T1085 to go first,,,,,
T1086,Passenger,Station_42,92,56,Free,Skip,Single-line,120,Hold Train T1086,Station_30,15.0,,,
T1087,Passenger,Section_21,17,5,Free,All Stops,Single-line,100,Hold Train T1087,Station_14,24.0,,,
T1088,Passenger,Section_1,61,41,Occupied,All Stops,Double-line,60,Hold Train T1088,Station_36,24.0,,,
T1089,Express,Section_12,106,21,Free,Skip,Single-line,100,Hold Train T1089,Station_24,16.0,,,
T1090,Express,Station_20,73,43,Occupied,All Stops,Single-line,90,Reroute Train T1090,,,Section_50 → Station_22 → Station_44,18.0,Maintenance
T1091,Passenger,Station_36,79,34,Free,Skip,Double-line,120,Reroute Train T1091,,,Section_11 → Station_35 → Section_7,33.0,Weather
T1092,Passenger,Station_49,99,20,Free,All Stops,Single-line,90,Hold Train T1092,Station_20,28.0,,,
T1093,Freight,Station_34,83,50,Free,All Stops,Single-line,100,Reroute Train T1093,,,Section_11 → Section_35 → Section_14,11.0,Accident
T1094,Passenger,Section_23,22,60,Free,Skip,Double-line,110,Allow Train T1094 to go first,,,,,
T1095,Passenger,Section_2,88,15,Occupied,Skip,Double-line,80,Hold Train T1095,Station_38,19.0,,,
T1096,Passenger,Station_16,6,42,Free,Skip,Single-line,90,Reroute Train T1096,,,Station_33 → Section_10 → Section_9,19.0,Accident
T1097,Freight,Station_34,30,42,Free,All Stops,Double-line,80,Allow Train T1097 to go first,,,,,
T1098,Passenger,Station_47,59,32,Occupied,All Stops,Double-line,60,Allow Train T1098 to go first,,,,,
T1099,Passenger,Station_35,82,46,Occupied,All Stops,Single-line,100,Reroute Train T1099,,,Station_43 → Section_34 → Station_48,34.0,Congestion
T1100,Freight,Section_36,40,9,Free,Skip,Double-line,90,Hold Train T1100,Station_36,5.0,,,
T1101,Freight,Section_46,74,50,Occupied,All Stops,Double-line,100,Hold Train T1101,Station_33,8.0,,,
T1102,Freight,Section_3,51,2,Free,All Stops,Single-line,80,Hold Train T1102,Station_11,12.0,,,
T1103,Express,Section_45,94,41,Occupied,All Stops,Single-line,90,Allow Train T1103 to go first,,,,,
T1104,Passenger,Station_14,32,25,Occupied,Skip,Double-line,120,Hold Train T1104,Station_43,23.0,,,
T1105,Passenger,Section_43,103,51,Free,All Stops,Single-line,110,Hold Train T1105,Station_46,15.0,,,
T1106,Freight,Station_44,5,33,Free,All Stops,Double-line,90,Reroute Train T1106,,,Section_49 → Section_2 → Station_5,12.0,Weather
T1107,Express,Station_25,77,52,Occupied,Skip,Single-line,60,Hold Train T1107,Station_23,24.0,,,
T1108,Freight,Station_4,84,54,Free,Skip,Double-line,120,Allow Train T1108 to go first,,,,,
T1109,Passenger,Section_9,73,50,Occupied,Skip,Double-line,110,Hold Train T1109,Station_45,24.0,,,
T1110,Express,Section_18,40,20,Free,All Stops,Single-line,60,Reroute Train T1110,,,Station_47 → Section_25 → Section_50,20.0,Weather
T1111,Passenger,Section_2,86,15,Occupied,Skip,Double-line,100,Allow Train T1111 to go first,,,,,
T1112,Passenger,Section_37,101,22,Occupied,Skip,Double-line,60,Hold Train T1112,Station_9,9.0,,,
T1113,Freight,Section_19,27,17,Free,Skip,Single-line,90,Allow Train T1113 to go first,,,,,
T1114,Express,Section_29,0,4,Occupied,Skip,Single-line,110,Hold Train T1114,Station_20,10.0,,,
T1115,Passenger,Section_32,39,39,Free,All Stops,Double-line,120,Allow Train T1115 to go first,,,,,
T1116,Passenger,Section_12,91,49,Occupied,All Stops,Single-line,120,Hold Train T1116,Station_34,5.0,,,
T1117,Express,Section_41,98,54,Free,Skip,Double-line,120,Reroute Train T1117,,,Station_30 → Station_47 → Section_50,32.0,Accident
T1118,Freight,Station_20,49,52,Free,Skip,Double-line,80,Reroute Train T1118,,,Section_4 → Station_31 → Section_44,35.0,Accident
T1119,Freight,Section_50,102,4,Free,All Stops,Double-line,110,Allow Train T1119 to go first,,,,,
T1120,Express,Station_17,86,8,Free,Skip,Single-line,90,Reroute Train T1120,,,Section_35 → Station_22 → Station_42,15.0,Weather
T1121,Express,Station_14,74,31,Free,All Stops,Double-line,100,Hold Train T1121,Station_29,13.0,,,
T1122,Freight,Section_31,34,24,Occupied,Skip,Single-line,90,Reroute Train T1122,,,Station_41 → Station_36 → Station_37,9.0,Maintenance
T1123,Freight,Station_13,102,49,Occupied,Skip,Single-line,100,Hold Train T1123,Station_13,21.0,,,
T1124,Express,Section_38,43,9,Free,Skip,Single-line,120,Reroute Train T1124,,,Station_28 → Section_7 → Section_43,32.0,Accident
T1125,Express,Section_19,99,57,Occupied,All Stops,Single-line,90,Hold Train T1125,Station_43,9.0,,,
T1126,Express,Station_4,9,16,Free,Skip,Single-line,90,Hold Train T1126,Station_4,8.0,,,
T1127,Express,Station_24,56,10,Free,All Stops,Single-line,80,Allow Train T1127 to go first,,,,,
T1128,Freight,Section_12,112,49,Occupied,All Stops,Double-line,100,Allow Train T1128 to go first,,,,,
T1129,Freight,Section_24,1,26,Occupied,All Stops,Single-line,110,Allow Train T1129 to go first,,,,,
T1130,Passenger,Station_49,18,47,Occupied,Skip,Double-line,100,Reroute Train T1130,,,Section_12 → Section_39 → Station_9,31.0,Congestion
T1131,Express,Section_14,18,2,Occupied,All Stops,Single-line,120,Hold Train T1131,Station_7,21.0,,,
T1132,Passenger,Section_24,28,2,Free,Skip,Double-line,90,Reroute Train T1132,,,Station_43 → Section_2 → Station_33,32.0,Weather
T1133,Passenger,Station_14,75,39,Free,All Stops,Single-line,90,Reroute Train T1133,,,Section_38 → Section_47 → Station_30,6.0,Weather
T1134,Passenger,Section_23,4,36,Occupied,Skip,Single-line,90,Allow Train T1134 to go first,,,,,
T1135,Passenger,Section_35,14,45,Occupied,Skip,Single-line,110,Allow Train T1135 to go first,,,,,
T1136,Freight,Station_48,71,36,Free,Skip,Double-line,110,Allow Train T1136 to go first,,,,,
T1137,Freight,Section_1,59,0,Occupied,All Stops,Single-line,60,Hold Train T1137,Station_16,7.0,,,
T1138,Freight,Station_32,81,57,Occupied,Skip,Double-line,80,Hold Train T1138,Station_1,9.0,,,
T1139,Express,Station_15,54,36,Free,All Stops,Double-line,90,Reroute Train T1139,,,Station_2 → Station_19 → Section_28,19.0,Congestion
T1140,Passenger,Section_20,29,48,Occupied,Skip,Single-line,60,Hold Train T1140,Station_24,19.0,,,
T1141,Express,Station_42,108,5,Occupied,All Stops,Double-line,90,Hold Train T1141,Station_37,11.0,,,
T1142,Freight,Section_41,44,7,Free,Skip,Single-line,90,Allow Train T1142 to go first,,,,,
T1143,Express,Station_20,116,34,Free,Skip,Single-line,110,Hold Train T1143,Station_24,21.0,,,
T1144,Freight,Section_25,90,30,Free,Skip,Double-line,110,Hold Train T1144,Station_7,20.0,,,
T1145,Passenger,Station_11,109,31,Free,Skip,Single-line,90,Hold Train T1145,Station_33,19.0,,,
T1146,Express,Section_24,38,4,Free,All Stops,Double-line,60,Hold Train T1146,Station_6,17.0,,,
T1147,Passenger,Section_20,103,14,Occupied,Skip,Single-line,100,Hold Train T1147,Station_36,13.0,,,
T1148,Express,Section_47,71,29,Occupied,All Stops,Double-line,120,Hold Train T1148,Station_4,5.0,,,
T1149,Passenger,Station_36,28,19,Occupied,All Stops,Single-line,60,Reroute Train T1149,,,Section_48 → Section_11 → Station_31,7.0,Congestion
T1150,Express,Station_23,33,37,Occupied,All Stops,Double-line,100,Hold Train T1150,Station_22,8.0,,,
T1151,Express,Station_39,69,17,Free,All Stops,Double-line,120,Allow Train T1151 to go first,,,,,
T1152,Express,Section_20,11,22,Occupied,Skip,Double-line,90,Allow Train T1152 to go first,,,,,
T1153,Passenger,Station_7,58,38,Occupied,All Stops,Double-line,100,Allow Train T1153 to go first,,,,,
T1154,Express,Station_14,6,30,Occupied,All Stops,Double-line,100,Hold Train T1154,Station_19,26.0,,,
T1155,Freight,Station_45,53,21,Occupied,Skip,Double-line,80,Allow Train T1155 to go first,,,,,
T1156,Passenger,Section_38,73,13,Occupied,All Stops,Double-line,120,Allow Train T1156 to go first,,,,,
T1157,Express,Section_25,1,38,Occupied,All Stops,Double-line,120,Hold Train T1157,Station_1,18.0,,,
T1158,Passenger,Section_43,75,46,Free,All Stops,Single-line,80,Reroute Train T1158,,,Station_17 → Section_3 → Section_21,35.0,Maintenance
T1159,Freight,Section_49,110,28,Occupied,All Stops,Double-line,110,Hold Train T1159,Station_30,6.0,,,
T1160,Freight,Station_27,72,36,Occupied,Skip,Double-line,80,Hold Train T1160,Station_30,23.0,,,
T1161,Express,Section_46,103,48,Occupied,Skip,Single-line,60,Hold Train T1161,Station_49,12.0,,,
T1162,Passenger,Station_16,16,35,Occupied,Skip,Single-line,120,Allow Train T1162 to go first,,,,,
T1163,Passenger,Section_20,115,41,Free,All Stops,Single-line,80,Allow Train T1163 to go first,,,,,
T1164,Express,Section_38,120,49,Free,Skip,Single-line,80,Reroute Train T1164,,,Section_26 → Station_30 → Station_33,22.0,Weather
T1165,Express,Section_2,104,45,Free,All Stops,Double-line,120,Allow Train T1165 to go first,,,,,
T1166,Freight,Station_1,51,39,Occupied,Skip,Single-line,90,Hold Train T1166,Station_35,17.0,,,
T1167,Passenger,Section_50,17,38,Occupied,Skip,Single-line,110,Hold Train T1167,Station_16,20.0,,,
T1168,Freight,Station_7,4,50,Occupied,All Stops,Double-line,110,Reroute Train T1168,,,Station_44 → Station_37 → Section_19,35.0,Accident
T1169,Express,Station_14,14,37,Free,All Stops,Single-line,90,Hold Train T1169,Station_20,9.0,,,
T1170,Freight,Station_1,41,15,Occupied,All Stops,Double-line,80,Hold Train T1170,Station_22,30.0,,,
T1171,Express,Section_12,71,55,Occupied,All Stops,Double-line,60,Reroute Train T1171,,,Station_24 → Station_6 → Station_30,13.0,Congestion
T1172,Express,Station_32,113,4,Occupied,Skip,Single-line,110,Reroute Train T1172,,,Station_42 → Section_22 → Section_2,31.0,Congestion
T1173,Freight,Section_50,73,42,Free,All Stops,Double-line,80,Reroute Train T1173,,,Section_14 → Station_26 → Section_40,9.0,Accident
T1174,Express,Station_40,72,23,Occupied,Skip,Single-line,100,Reroute Train T1174,,,Section_24 → Section_1 → Station_40,24.0,Maintenance
T1175,Passenger,Station_2,30,12,Free,Skip,Double-line,60,Allow Train T1175 to go first,,,,,
T1176,Passenger,Station_11,89,2,Free,All Stops,Double-line,90,Reroute Train T1176,,,Station_11 → Station_20 → Station_3,14.0,Congestion
T1177,Freight,Section_41,83,48,Free,Skip,Double-line,90,Hold Train T1177,Station_24,13.0,,,
T1178,Express,Section_1,35,33,Occupied,Skip,Single-line,60,Hold Train T1178,Station_26,18.0,,,
T1179,Express,Section_10,40,41,Free,Skip,Double-line,80,Hold Train T1179,Station_44,26.0,,,
T1180,Freight,Section_8,32,17,Free,Skip,Single-line,120,Hold Train T1180,Station_4,20.0,,,
T1181,Freight,Section_49,43,18,Free,Skip,Single-line,110,Hold Train T1181,Station_33,20.0,,,
T1182,Express,Station_31,88,35,Free,All Stops,Single-line,100,Allow Train T1182 to go first,,,,,
T1183,Express,Station_34,42,28,Free,Skip,Single-line,100,Hold Train T1183,Station_5,13.0,,,
T1184,Freight,Section_35,68,21,Free,All Stops,Single-line,60,Hold Train T1184,Station_3,28.0,,,
T1185,Express,Section_23,55,31,Occupied,Skip,Single-line,110,Allow Train T1185 to go first,,,,,
T1186,Passenger,Station_10,73,8,Free,Skip,Single-line,110,Reroute Train T1186,,,Section_43 → Station_46 → Station_17,20.0,Congestion
T1187,Freight,Station_20,72,28,Free,All Stops,Single-line,100,Reroute Train T1187,,,Station_44 → Section_15 → Station_21,11.0,Accident
T1188,Freight,Section_31,116,23,Occupied,Skip,Single-line,100,Allow Train T1188 to go first,,,,,
T1189,Freight,Section_33,56,5,Occupied,Skip,Single-line,100,Hold Train T1189,Station_30,14.0,,,
T1190,Freight,Station_15,101,19,Free,All Stops,Double-line,80,Reroute Train T1190,,,Section_3 → Station_21 → Station_50,13.0,Accident
T1191,Freight,Station_11,66,59,Free,Skip,Single-line,90,Reroute Train T1191,,,Section_24 → Section_11 → Section_44,33.0,Congestion
T1192,Freight,Section_6,90,50,Occupied,All Stops,Single-line,90,Hold Train T1192,Station_13,25.0,,,
T1193,Passenger,Station_26,80,56,Occupied,All Stops,Double-line,110,Hold Train T1193,Station_11,24.0,,,
T1194,Passenger,Station_47,60,7,Occupied,All Stops,Double-line,80,Reroute Train T1194,,,Section_37 → Section_33 → Station_6,15.0,Maintenance
T1195,Express,Station_35,118,34,Free,All Stops,Single-line,90,Hold Train T1195,Station_38,18.0,,,
T1196,Express,Section_31,3,46,Free,All Stops,Single-line,110,Allow Train T1196 to go first,,,,,
T1197,Passenger,Section_40,45,30,Free,All Stops,Double-line,80,Hold Train T1197,Station_11,17.0,,,
T1198,Passenger,Section_39,99,44,Free,Skip,Double-line,90,Reroute Train T1198,,,Station_20 → Station_5 → Station_29,31.0,Congestion
T1199,Express,Section_27,97,5,Occupied,Skip,Single-line,120,Hold Train T1199,Station_10,19.0,,,
T1200,Express,Station_14,120,45,Free,All Stops,Single-line,80,Hold Train T1200,Station_20,7.0,,,
T1201,Passenger,Section_13,110,21,Occupied,Skip,Single-line,120,Allow Train T1201 to go first,,,,,
T1202,Freight,Station_35,16,58,Free,Skip,Double-line,110,Reroute Train T1202,,,Section_45 → Station_35 → Section_8,24.0,Congestion
T1203,Express,Section_24,68,40,Free,All Stops,Double-line,120,Hold Train T1203,Station_45,20.0,,,
T1204,Passenger,Station_11,45,15,Free,Skip,Single-line,100,Allow Train T1204 to go first,,,,,
T1205,Freight,Station_39,59,46,Free,All Stops,Double-line,60,Allow Train T1205 to go first,,,,,
T1206,Freight,Station_26,18,38,Free,Skip,Single-line,100,Hold Train T1206,Station_30,18.0,,,
T1207,Express,Section_33,39,19,Free,All Stops,Double-line,80,Reroute Train T1207,,,Section_41 → Station_42 → Station_41,21.0,Maintenance
T1208,Freight,Station_37,22,41,Free,Skip,Double-line,110,Hold Train T1208,Station_39,9.0,,,
T1209,Freight,Section_41,95,3,Occupied,All Stops,Double-line,90,Reroute Train T1209,,,Station_29 → Section_30 → Station_26,24.0,Congestion
T1210,Freight,Section_24,51,37,Free,All Stops,Double-line,80,Reroute Train T1210,,,Section_50 → Section_36 → Section_26,16.0,Accident
T1211,Express,Section_16,60,35,Free,All Stops,Double-line,80,Allow Train T1211 to go first,,,,,
T1212,Freight,Station_13,114,14,Free,Skip,Double-line,80,Hold Train T1212,Station_22,12.0,,,
T1213,Freight,Section_37,26,3,Free,Skip,Double-line,90,Allow Train T1213 to go first,,,,,
T1214,Express,Station_20,37,48,Occupied,All Stops,Single-line,120,Reroute Train T1214,,,Section_19 → Station_48 → Station_25,34.0,Congestion
T1215,Express,Station_31,29,22,Free,All Stops,Single-line,100,Allow Train T1215 to go first,,,,,
T1216,Express,Station_32,105,8,Occupied,Skip,Single-line,100,Reroute Train T1216,,,Station_12 → Station_47 → Station_46,25.0,Weather
T1217,Express,Section_26,34,40,Free,All Stops,Single-line,80,Reroute Train T1217,,,Section_38 → Section_37 → Station_39,26.0,Weather
T1218,Passenger,Station_10,10,37,Free,All Stops,Double-line,60,Allow Train T1218 to go first,,,,,
T1219,Passenger,Station_30,65,51,Free,All Stops,Single-line,110,Allow Train T1219 to go first,,,,,
T1220,Express,Section_44,113,22,Free,All Stops,Single-line,120,Reroute Train T1220,,,Station_40 → Section_29 → Station_33,9.0,Weather
T1221,Express,Station_43,88,31,Occupied,All Stops,Double-line,60,Hold Train T1221,Station_28,30.0,,,
T1222,Express,Station_23,65,40,Free,All Stops,Double-line,80,Allow Train T1222 to go first,,,,,
T1223,Passenger,Station_16,95,26,Free,Skip,Double-line,120,Hold Train T1223,Station_16,15.0,,,
T1224,Express,Station_2,111,49,Free,All Stops,Double-line,60,Hold Train T1224,Station_3,14.0,,,
T1225,Express,Station_8,40,38,Occupied,All Stops,Double-line,110,Hold Train T1225,Station_30,7.0,,,
T1226,Passenger,Station_25,87,13,Occupied,Skip,Single-line,120,Reroute Train T1226,,,Station_5 → Station_14 → Station_6,10.0,Accident
T1227,Passenger,Section_44,12,54,Free,Skip,Single-line,100,Reroute Train T1227,,,Section_18 → Section_15 → Section_22,11.0,Congestion
T1228,Express,Station_36,102,57,Occupied,Skip,Double-line,80,Reroute Train T1228,,,Section_17 → Station_15 → Section_3,37.0,Weather
T1229,Freight,Section_19,93,22,Free,All Stops,Double-line,110,Allow Train T1229 to go first,,,,,
T1230,Passenger,Section_31,4,42,Occupied,All Stops,Double-line,110,Reroute Train T1230,,,Section_48 → Station_21 → Station_49,35.0,Congestion
T1231,Freight,Station_5,1,30,Free,All Stops,Single-line,60,Reroute Train T1231,,,Section_32 → Section_21 → Station_15,23.0,Weather
T1232,Express,Section_31,24,29,Free,All Stops,Double-line,90,Allow Train T1232 to go first,,,,,
T1233,Passenger,Section_17,28,46,Free,Skip,Single-line,100,Reroute Train T1233,,,Section_7 → Section_17 → Section_48,28.0,Maintenance
T1234,Freight,Station_33,44,18,Free,All Stops,Double-line,60,Hold Train T1234,Station_25,20.0,,,
T1235,Passenger,Section_23,4,60,Occupied,All Stops,Double-line,100,Hold Train T1235,Station_5,22.0,,,
T1236,Passenger,Section_48,62,57,Free,Skip,Double-line,90,Hold Train T1236,Station_28,6.0,,,
T1237,Passenger,Section_36,77,50,Occupied,All Stops,Single-line,90,Allow Train T1237 to go first,,,,,
T1238,Express,Section_15,6,58,Occupied,Skip,Single-line,60,Reroute Train T1238,,,Station_5 → Station_18 → Station_45,38.0,Accident
T1239,Passenger,Station_43,97,50,Free,Skip,Double-line,120,Hold Train T1239,Station_31,30.0,,,
T1240,Express,Station_3,86,12,Free,All Stops,Double-line,120,Reroute Train T1240,,,Section_12 → Station_14 → Section_26,15.0,Weather
T1241,Express,Station_48,36,35,Occupied,Skip,Single-line,60,Allow Train T1241 to go first,,,,,
T1242,Passenger,Section_36,7,8,Occupied,All Stops,Double-line,90,Allow Train T1242 to go first,,,,,
T1243,Freight,Station_8,43,18,Free,Skip,Single-line,110,Hold Train T1243,Station_26,25.0,,,
T1244,Passenger,Station_31,66,32,Occupied,Skip,Double-line,100,Allow Train T1244 to go first,,,,,
T1245,Passenger,Station_28,1,12,Occupied,Skip,Single-line,120,Allow Train T1245 to go first,,,,,
T1246,Express,Station_4,74,5,Occupied,Skip,Double-line,80,Reroute Train T1246,,,Station_40 → Section_30 → Station_29,6.0,Weather
T1247,Freight,Section_42,35,6,Occupied,All Stops,Double-line,90,Hold Train T1247,Station_49,17.0,,,
T1248,Express,Section_16,79,31,Free,All Stops,Single-line,110,Reroute Train T1248,,,Station_49 → Station_21 → Station_19,26.0,Congestion
T1249,Passenger,Section_50,41,40,Occupied,Skip,Single-line,80,Allow Train T1249 to go first,,,,,
T1250,Express,Station_5,16,14,Occupied,Skip,Double-line,100,Reroute Train T1250,,,Section_10 → Section_8 → Station_14,16.0,Accident
T1251,Express,Section_35,47,33,Free,All Stops,Single-line,110,Reroute Train T1251,,,Station_22 → Section_49 → Section_15,5.0,Accident
T1252,Express,Section_3,51,27,Free,Skip,Single-line,80,Reroute Train T1252,,,Station_17 → Section_13 → Section_18,40.0,Accident
T1253,Passenger,Section_13,81,39,Free,All Stops,Single-line,100,Allow Train T1253 to go first,,,,,
T1254,Passenger,Station_18,60,25,Occupied,All Stops,Double-line,90,Allow Train T1254 to go first,,,,,
T1255,Express,Station_19,20,51,Occupied,Skip,Double-line,110,Reroute Train T1255,,,Section_1 → Station_25 → Section_43,9.0,Congestion
T1256,Passenger,Station_31,59,4,Occupied,All Stops,Single-line,80,Allow Train T1256 to go first,,,,,
T1257,Express,Section_19,4,44,Free,All Stops,Double-line,120,Reroute Train T1257,,,Station_16 → Station_34 → Section_28,20.0,Weather
T1258,Express,Station_50,10,1,Occupied,All Stops,Single-line,110,Reroute Train T1258,,,Section_46 → Station_16 → Station_14,13.0,Accident
T1259,Passenger,Section_35,86,38,Free,All Stops,Double-line,100,Reroute Train T1259,,,Section_21 → Section_36 → Section_50,18.0,Accident
T1260,Express,Station_6,28,16,Free,All Stops,Single-line,80,Allow Train T1260 to go first,,,,,
T1261,Freight,Station_14,14,60,Free,All Stops,Single-line,90,Allow Train T1261 to go first,,,,,
T1262,Freight,Section_41,29,10,Occupied,Skip,Double-line,110,Reroute Train T1262,,,Station_1 → Station_40 → Section_8,7.0,Accident
T1263,Passenger,Station_1,73,47,Occupied,Skip,Double-line,100,Allow Train T1263 to go first,,,,,
T1264,Passenger,Section_35,104,32,Occupied,Skip,Single-line,60,Allow Train T1264 to go first,,,,,
T1265,Express,Station_34,103,51,Occupied,All Stops,Double-line,90,Hold Train T1265,Station_9,29.0,,,
T1266,Express,Section_9,41,42,Occupied,All Stops,Single-line,100,Reroute Train T1266,,,Station_35 → Station_4 → Station_29,18.0,Weather
T1267,Passenger,Station_34,79,40,Occupied,Skip,Single-line,80,Reroute Train T1267,,,Station_14 → Section_41 → Station_30,30.0,Accident
T1268,Express,Station_24,104,40,Occupied,All Stops,Single-line,60,Hold Train T1268,Station_2,12.0,,,
T1269,Express,Section_5,97,51,Occupied,All Stops,Single-line,60,Reroute Train T1269,,,Section_33 → Section_22 → Station_6,27.0,Weather
T1270,Passenger,Station_31,11,43,Free,Skip,Single-line,110,Reroute Train T1270,,,Section_2 → Section_33 → Station_43,23.0,Weather
T1271,Express,Station_22,41,14,Occupied,Skip,Double-line,90,Allow Train T1271 to go first,,,,,
T1272,Express,Station_36,56,18,Occupied,All Stops,Double-line,110,Hold Train T1272,Station_50,25.0,,,
T1273,Freight,Section_25,104,33,Occupied,All Stops,Single-line,100,Allow Train T1273 to go first,,,,,
T1274,Freight,Station_32,51,51,Free,Skip,Single-line,100,Hold Train T1274,Station_1,29.0,,,
T1275,Express,Section_7,62,60,Free,All Stops,Double-line,110,Hold Train T1275,Station_39,11.0,,,
T1276,Express,Station_5,56,33,Free,Skip,Single-line,100,Allow Train T1276 to go first,,,,,
T1277,Freight,Section_41,97,27,Free,Skip,Double-line,110,Allow Train T1277 to go first,,,,,
T1278,Express,Station_12,34,18,Occupied,Skip,Double-line,90,Reroute Train T1278,,,Section_5 → Section_8 → Station_36,19.0,Congestion
T1279,Express,Section_36,84,33,Occupied,All Stops,Double-line,90,Allow Train T1279 to go first,,,,,
T1280,Express,Section_23,13,30,Free,Skip,Single-line,90,Allow Train T1280 to go first,,,,,
T1281,Express,Section_47,7,19,Free,All Stops,Double-line,90,Allow Train T1281 to go first,,,,,
T1282,Freight,Station_50,91,7,Occupied,All Stops,Single-line,60,Hold Train T1282,Station_14,23.0,,,
T1283,Passenger,Section_48,54,44,Free,All Stops,Double-line,120,Reroute Train T1283,,,Station_20 → Station_26 → Section_46,40.0,Accident
T1284,Freight,Station_49,109,21,Free,Skip,Double-line,120,Hold Train T1284,Station_36,19.0,,,
T1285,Freight,Station_12,33,44,Free,Skip,Double-line,110,Allow Train T1285 to go first,,,,,
T1286,Express,Section_48,61,58,Occupied,All Stops,Single-line,100,Allow Train T1286 to go first,,,,,
T1287,Passenger,Station_47,71,41,Free,All Stops,Single-line,90,Hold Train T1287,Station_39,9.0,,,
T1288,Express,Section_42,15,24,Free,All Stops,Single-line,100,Reroute Train T1288,,,Section_26 → Section_22 → Section_29,17.0,Accident
T1289,Passenger,Section_1,38,25,Free,All Stops,Single-line,60,Hold Train T1289,Station_43,25.0,,,
T1290,Freight,Station_42,46,31,Free,Skip,Single-line,90,Reroute Train T1290,,,Station_17 → Section_11 → Section_40,11.0,Weather
T1291,Passenger,Section_46,74,9,Occupied,All Stops,Single-line,110,Reroute Train T1291,,,Station_8 → Station_43 → Station_4,16.0,Weather
T1292,Express,Station_1,6,42,Free,Skip,Single-line,60,Hold Train T1292,Station_28,7.0,,,
T1293,Passenger,Station_10,108,37,Occupied,Skip,Double-line,90,Reroute Train T1293,,,Section_30 → Section_31 → Section_16,10.0,Congestion
T1294,Express,Station_30,0,3,Free,Skip,Double-line,120,Hold Train T1294,Station_37,24.0,,,
T1295,Express,Section_48,87,43,Occupied,All Stops,Single-line,80,Reroute Train T1295,,,Station_28 → Station_10 → Station_8,21.0,Accident
T1296,Freight,Station_16,63,43,Occupied,Skip,Double-line,90,Hold Train T1296,Station_47,18.0,,,
T1297,Express,Section_28,17,8,Free,Skip,Single-line,60,Hold Train T1297,Station_14,29.0,,,
T1298,Express,Section_18,93,25,Occupied,Skip,Double-line,100,Allow Train T1298 to go first,,,,,
T1299,Freight,Section_31,80,45,Free,Skip,Single-line,80,Hold Train T1299,Station_17,29.0,,,
T1300,Express,Section_39,80,27,Free,All Stops,Single-line,90,Reroute Train T1300,,,Section_29 → Section_26 → Station_9,31.0,Weather
T1301,Passenger,Station_36,1,53,Free,Skip,Single-line,110,Reroute Train T1301,,,Station_9 → Section_42 → Section_24,19.0,Congestion
T1302,Passenger,Station_18,100,57,Free,All Stops,Double-line,60,Allow Train T1302 to go first,,,,,
T1303,Passenger,Section_28,30,29,Occupied,All Stops,Single-line,80,Hold Train T1303,Station_12,24.0,,,
T1304,Passenger,Section_48,32,16,Occupied,All Stops,Single-line,120,Reroute Train T1304,,,Section_5 → Section_49 → Section_41,39.0,Weather
T1305,Freight,Station_15,111,56,Free,Skip,Double-line,80,Allow Train T1305 to go first,,,,,
T1306,Express,Section_5,32,1,Free,All Stops,Double-line,100,Allow Train T1306 to go first,,,,,
T1307,Passenger,Station_41,89,22,Free,All Stops,Single-line,100,Reroute Train T1307,,,Section_12 → Section_29 → Station_7,15.0,Accident
T1308,Freight,Station_13,88,9,Free,All Stops,Double-line,80,Hold Train T1308,Station_11,8.0,,,
T1309,Passenger,Station_23,113,46,Occupied,All Stops,Single-line,80,Allow Train T1309 to go first,,,,,
T1310,Express,Station_42,65,19,Free,Skip,Single-line,110,Hold Train T1310,Station_23,26.0,,,
